id,KPI - METRIC1,KPI - METRIC2,KPI - METRIC3,KPI - METRIC4,Age,Gender,Region,Date
1,1,0,0,0,31-40,Male,East,10/01/2015
2,1,0,0,1,41-50,Male,East,10/01/2015
3,0,1,0,1,21-30,Female,East,10/01/2015
4,0,1,0,1,21-30,Female,South,10/01/2015
5,0,1,0,1,31-40,Female,West,10/01/2015
6,1,0,0,0,31-40,Female,East,10/01/2015
7,0,0,0,1,21-30,Male,West,10/01/2015
8,0,1,0,0,31-40,Female,East,10/01/2015
9,0,0,0,1,31-40,Female,West,10/01/2015
10,1,1,0,0,41-50,Male,North,10/01/2015
11,1,0,0,1,41-50,Female,North,10/01/2015
12,1,0,0,0,31-40,Female,East,10/01/2015
13,1,1,1,1,21-30,Male,West,10/01/2015
14,1,1,0,1,21-30,Male,South,10/01/2015
15,1,0,0,0,21-30,Male,North,10/01/2015
16,1,1,0,1,31-40,Male,South,10/01/2015
17,1,1,0,1,31-40,Male,South,10/01/2015
18,1,0,0,1,21-30,Male,North,10/01/2015
19,0,1,0,1,31-40,Male,North,10/01/2015
20,1,0,0,1,31-40,Male,North,10/01/2015
21,0,0,1,1,31-40,Female,West,10/01/2015
22,1,0,0,1,21-30,Male,West,10/01/2015
23,0,0,0,1,21-30,Male,North,10/01/2015
24,1,1,0,1,21-30,Male,West,10/01/2015
25,1,0,0,1,41-50,Male,South,10/01/2015
26,0,1,0,1,21-30,Female,West,10/01/2015
27,1,1,0,1,31-40,Female,South,10/01/2015
28,1,0,0,1,41-50,Female,North,10/01/2015
29,0,0,0,1,21-30,Female,South,10/01/2015
30,0,1,0,1,21-30,Female,East,10/01/2015
31,0,0,0,1,31-40,Male,North,10/01/2015
32,1,0,0,1,21-30,Female,East,10/01/2015
33,0,1,0,1,21-30,Male,North,10/01/2015
34,0,0,0,1,41-50,Female,West,10/01/2015
35,0,1,0,1,41-50,Male,West,10/01/2015
36,0,0,0,1,21-30,Male,East,10/01/2015
37,1,0,0,1,31-40,Male,South,10/01/2015
38,0,0,1,1,41-50,Male,East,10/01/2015
39,0,0,0,1,31-40,Male,North,10/01/2015
40,0,0,0,1,31-40,Male,South,10/01/2015
41,0,0,0,0,41-50,Male,West,10/01/2015
42,0,1,0,0,21-30,Male,North,10/01/2015
