id,KPI - METRIC1,KPI - METRIC2,KPI - METRIC3,KPI - METRIC4,KPI - METRIC5,Age,Gender,Region,Date
1,1,1,0,1,1,21-30,Male,North,21/04/2016
2,1,1,0,1,0,41-50,Female,East,23/02/2015
3,0,1,1,0,1,41-50,Female,West,11/09/2016
4,0,1,1,1,1,41-50,Female,North,12/01/2016
5,0,0,0,1,0,21-30,Female,South,12/08/2015
6,1,1,1,1,0,21-30,Male,South,11/07/2015
7,1,1,1,1,0,41-50,Male,West,21/07/2015
8,1,1,0,0,0,21-30,Female,North,19/11/2016
9,1,1,0,1,0,41-50,Male,East,12/02/2015
10,0,1,0,1,0,31-40,Female,North,25/12/2015
11,0,1,0,1,0,41-50,Male,East,12/10/2015
12,0,1,0,1,0,41-50,Female,South,16/06/2016
13,0,1,1,1,1,31-40,Male,West,21/10/2016
14,0,1,0,1,1,41-50,Female,West,11/01/2015
15,1,1,1,1,1,41-50,Male,West,22/02/2015
16,0,1,0,0,1,41-50,Female,South,22/01/2016
17,0,1,0,1,0,31-40,Male,West,14/07/2016
18,0,1,1,1,0,31-40,Female,South,18/07/2015
19,1,0,0,1,0,21-30,Male,South,23/10/2016
20,1,0,0,0,1,21-30,Female,West,17/04/2016
21,1,1,1,0,1,41-50,Male,North,18/09/2015
22,0,1,0,1,0,41-50,Male,West,16/08/2015
23,1,1,1,0,0,31-40,Male,South,19/08/2015
24,1,1,1,1,1,41-50,Male,West,19/05/2016
25,0,1,0,0,1,41-50,Female,South,21/07/2015
26,0,1,0,0,0,21-30,Female,West,22/04/2016
27,1,1,1,1,0,31-40,Female,North,18/07/2015
28,0,1,1,1,0,41-50,Male,South,19/04/2015
29,0,0,1,0,0,41-50,Male,East,19/06/2015
30,0,1,0,0,0,41-50,Female,West,17/12/2016
31,0,1,1,1,0,41-50,Female,South,10/05/2015
32,1,0,1,1,0,21-30,Male,West,10/10/2015
33,1,1,0,0,0,31-40,Female,West,23/10/2015
34,0,1,0,1,1,21-30,Male,West,13/07/2016
35,0,1,1,1,0,41-50,Female,West,24/10/2015
36,1,1,0,1,1,21-30,Male,North,18/08/2016
37,1,1,0,0,0,21-30,Male,West,14/11/2015
38,1,1,1,1,1,31-40,Male,North,21/10/2015
39,0,1,1,0,1,21-30,Male,North,14/09/2016
40,1,1,0,1,1,31-40,Female,East,23/12/2015
